2050,17.7493,1082.6245,8595.5914,9771.913,6313.5634,,1408.11,1636.258297,1818.862297,11896.81388,1546.93991,281.71299999999997,2283.11,4976.674,7123.146,1348.204,263.394,1776.3410000000001,3749.325,6520.978,698.4743333,45.63077344,863.3246875,4239.3695,9382.464,6793.491797,5211.823,46.71621484,821.9476875,3795.8495,7519.401,7189.922804000001,5365.4255,42.01846484,779.266875,4436.799,9423.624,5806.720279,5461.9705,44.15921484,776.728875,4447.9305,9196.913,5720.278448,5578.3945,46.12577734,811.591875,4068.993,7746.241999999999,6442.644647,5464.022,7975.3769999999995,9848.0204,6853.49,1252.971883,5174.740564,9905.75605,5443.226695,2716.518505,18.9001,964.8256,7846.0352,10283.6658,1391.1523,18.8917,895.9774,6857.2462,8505.4844,4531.4441,423.24315559999997,256.19821540000004,4051.966114,4564.328726,2339.604818,160.1468428,3672.76596,2168.829807,2816.78114,9167.895503,160.8600755,4080.0597549999998,3084.784455,3261.816781,10281.30363,213.90309380000002,4996.537,2887.284313,4244.053177000001,2407.9181949999997,105.06200000000001,1087.8339999999998,6502.547,5652.374,4449.544,3804.5149939999997,167.891,2243.6479999999997,4807.605,6720.196999999999,1313.429333,3040.038799,43.11,908.0,14570.0,7369.0,9330.0,42.19,1362.0,18140.0,7969.0,12800.0,43.19,2295.0,6454.0,7680.0,16100.0,964.1985793,10360.652820000001,10273.60173,5343.98831,1138.912656,8760.633036,10215.28074,5313.404391,19.526,1042.7504,9708.1862,5025.0398,1481.875,1607.480094,1462.094906,11349.80644,1958.863855,187.8417358,2236.821793,5129.333031,5195.540436,4157.338945,3191.859844,44.40574265,1825.3376460000002,4604.221191,3431.647461,3612.359131,778.6188,6017.6630000000005,7606.0740000000005,561.4115035,4279.512082,6268.735293,3836.120784,2294.4055780000003,605.8924156,4825.838581,6923.776848,4214.649517,2273.780379
2051,18.09384,1072.6055999999999,8635.168959999999,9800.21032,6820.9038199999995,,1492.1136,1753.2431188,1975.0873563999999,12145.814838,1698.7179364,281.09489999999994,2445.4854,5171.2866,7394.7582999999995,1537.5220666999999,264.5131,1926.8003,4011.5384999999997,6755.876,819.42263327,45.762378128,878.7684875,4451.7901,9631.0228,7173.5635636,5289.25,46.625068748,833.4955875,4019.4004999999997,7762.1668,7650.028782400001,5470.316000000001,41.888587498,805.9845625,4595.8536,9749.2092,6382.958603,5451.1472,43.965552339999995,802.3559,4632.7883,9485.1718,6278.3283368,5609.254400000001,45.93427656,823.9503874999999,4280.7038999999995,8030.5134,6957.052033800001,5548.3674,8329.675,10319.331339999999,7343.9646,1252.2378128,5390.133008,10324.615098,5685.3689568,2794.2681872,19.249519999999997,976.74632,8037.71951,10453.778540000001,1486.78544,19.22764,912.13909,7103.025089999999,8697.32372,4767.850619999999,430.57607561,258.48029756000005,4341.1302792,4665.4270263,2604.8257962,160.18372962,3775.3416748,2309.3298397,2861.2372826,9360.2823917,160.81226049999998,4190.557877499999,3289.6488142,3302.28639,10360.147955,210.94033442000003,5113.9224,2897.5869442000003,4337.729996800001,2480.1378569,110.57750000000001,1144.6656999999998,6796.4005,5843.4088,4697.0711333,3885.6803020999996,173.0495,2385.1474999999996,5056.128699999999,6907.426399999999,1511.3867997,3142.8708618,43.103,914.63,15147.0,7477.9,9487.0,42.073,1380.5,18830.0,8049.6,12920.0,43.096999999999994,2331.4,7273.6,8089.0,16410.0,954.02037729,10270.9593667,11203.561249,5604.4730377999995,1129.5277741,8656.905928099999,11026.20223,5576.0257064,19.84646,1061.6711599999999,9921.75572,5152.78486,1575.0662,1733.8445846,1606.3038654,11483.862062,2062.6465386,190.25404049000002,2383.7431057000003,5350.1196116,5456.6214083,4695.085223100001,3359.0790332,44.153121953,1884.3429927000002,4749.7590328,3527.7269044,3993.4673097000004,779.42404,6115.3638,7984.451800000001,557.59941022,4473.0436067,6623.2069597,4002.009306,2363.1266787000004,595.4603597500001,5038.2700888,7322.477261200001,4400.8560695999995,2346.9896071
2052,18.438380000000002,1062.5866999999998,8674.746519999999,9828.50764,7328.24424,,1576.1172,1870.2279406,2131.3124158,12394.815796,1850.4959628000001,280.47679999999997,2607.8608,5365.8992,7666.3706,1726.8401334,265.6322,2077.2596000000003,4273.7519999999995,6990.774,940.3709332399999,45.893982816,894.2122875,4664.2107,9879.5816,7553.6353302,5366.677000000001,46.533922656,845.0434875000001,4242.9515,8004.9326,8110.1347608,5575.2065,41.758710156,832.70225,4754.9082,10074.794399999999,6959.196926999999,5440.3239,43.77188984,827.982925,4817.6461,9773.4306,6836.3782255999995,5640.1143,45.74277578,836.3089,4492.4148,8314.7848,7471.4594206,5632.7128,8683.973,10790.64228,7834.439200000001,1251.5037426,5605.525452,10743.474146,5927.5112186,2872.0178694,19.59894,988.66704,8229.40382,10623.89128,1582.41858,19.56358,928.30078,7348.80398,8889.16304,5004.25714,437.90899562,260.76237972,4630.2944443999995,4766.5253266,2870.0467744,160.22061644000001,3877.9173896,2449.8298724,2905.6934252,9552.6692804,160.7644455,4301.056,3494.5131734,3342.755999,10438.99228,207.97757504,5231.3078000000005,2907.8895754,4431.406816600001,2552.3575188,116.09300000000002,1201.4974,7090.254,6034.4436,4944.5982666,3966.8456101999996,178.208,2526.647,5304.6524,7094.6557999999995,1709.3442664000002,3245.7029246,43.096,921.26,15724.0,7586.8,9644.0,41.955999999999996,1399.0,19520.0,8130.2,13040.0,43.004,2367.8,8093.2,8498.0,16720.0,943.84217528,10181.2659134,12133.520768,5864.9577656,1120.1428922,8553.178820199999,11837.12372,5838.6470218,20.16692,1080.5919199999998,10135.32524,5280.52992,1668.2574,1860.2090752,1750.5128248,11617.917684,2166.4292222,192.66634518,2530.6644184,5570.9061922,5717.702380600001,5232.8315012,3526.2982224,43.900501256,1943.3483394,4895.2968746,3623.8063478,4374.575488400001,780.22928,6213.0646,8362.829600000001,553.78731694,4666.5751314,6977.678626399999,4167.897828,2431.8477794000005,585.0283039000001,5250.7015966,7721.1776744,4587.0626222,2420.1988352
2053,18.78292,1052.5678,8714.32408,9856.804960000001,7835.5846599999995,,1660.1208,1987.2127624,2287.5374752,12643.816754,2002.2739892,279.8587,2770.2362000000003,5560.5118,7937.9829,1916.1582001000002,266.7513,2227.7189000000003,4535.9655,7225.6720000000005,1061.3192332099998,46.025587504,909.6560875,4876.6313,10128.1404,7933.707096799999,5444.104,46.442776564,856.5913875,4466.5025000000005,8247.6984,8570.240739199999,5680.097000000001,41.628832814,859.4199375000001,4913.9628,10400.3796,7535.435250999999,5429.5006,43.57822734,853.60995,5002.5039,10061.689400000001,7394.4281144,5670.974200000001,45.551275,848.6674125,4704.1257,8599.056199999999,7985.866807400001,5717.0581999999995,9038.271,11261.95322,8324.9138,1250.7696724,5820.917896,11162.333194,6169.6534804,2949.7675516,19.94836,1000.58776,8421.08813,10794.00402,1678.05172,19.89952,944.4624699999999,7594.582869999999,9081.002359999999,5240.66366,445.24191563,263.04446188000003,4919.4586096,4867.6236269,3135.2677525999998,160.25750326,3980.4931044,2590.3299051000004,2950.1495678,9745.0561691,160.7166305,4411.5541225,3699.3775326,3383.2256079999997,10517.836605,205.01481566,5348.6932,2918.1922066,4525.083636400001,2624.5771806999996,121.60850000000002,1258.3291,7384.1075,6225.4784,5192.1253999,4048.0109182999995,183.3665,2668.1465,5553.1761,7281.8852,1907.3017331,3348.5349874000003,43.089,927.89,16301.0,7695.7,9801.0,41.839,1417.5,20210.0,8210.8,13160.0,42.911,2404.2,8912.8,8907.0,17030.0,933.66397327,10091.5724601,13063.480286999998,6125.4424934,1110.7580103,8449.451712299999,12648.04521,6101.2683372,20.487379999999998,1099.51268,10348.89476,5408.274979999999,1761.4486000000002,1986.5735657999999,1894.7217842,11751.973306,2270.2119058,195.07864987,2677.5857311,5791.6927728,5978.7833529,5770.5777793,3693.5174116000003,43.647880559,2002.3536861,5040.8347164,3719.8857912,4755.6836671,781.0345199999999,6310.7654,8741.2074,549.97522366,4860.1066561,7332.1502930999995,4333.78635,2500.5688801,574.5962480500001,5463.1331044,8119.8780876,4773.2691748,2493.4080633
2054,19.127460000000003,1042.5489,8753.90164,9885.102280000001,8342.925079999999,,1744.1244,2104.1975842,2443.7625346,12892.817712,2154.0520156000002,279.2406,2932.6116,5755.1244,8209.5952,2105.4762668000003,267.8704,2378.1782000000003,4798.179,7460.570000000001,1182.2675331799999,46.157192192,925.0998875,5089.0518999999995,10376.6992,8313.778863399999,5521.531000000001,46.351630472000004,868.1392875,4690.0535,8490.4642,9030.3467176,5784.9875,41.498955472,886.137625,5073.0174,10725.9648,8111.673574999999,5418.6773,43.38456484,879.2369749999999,5187.3617,10349.9482,7952.4780032,5701.8341,45.35977422,861.025925,4915.8366,8883.3276,8500.274194200001,5801.4036,9392.569,11733.26416,8815.388400000002,1250.0356021999999,6036.31034,11581.192242000001,6411.7957422,3027.5172338,20.29778,1012.50848,8612.77244,10964.11676,1773.68486,20.23546,960.62416,7840.36176,9272.84168,5477.07018,452.57483564,265.32654404000004,5208.6227748,4968.7219272,3400.4887307999998,160.29439008,4083.0688192,2730.8299378,2994.6057104,9937.4430578,160.6688155,4522.052245,3904.2418918000003,3423.695217,10596.68093,202.05205628000002,5466.0786,2928.4948378,4618.760456200001,2696.7968425999998,127.12400000000001,1315.1607999999999,7677.960999999999,6416.513199999999,5439.6525332,4129.1762264,188.525,2809.6459999999997,5801.699799999999,7469.1146,2105.2591998000003,3451.3670502,43.082,934.52,16878.0,7804.6,9958.0,41.722,1436.0,20900.0,8291.4,13280.0,42.818,2440.6,9732.4,9316.0,17340.0,923.48577126,10001.8790068,13993.439805999998,6385.9272212,1101.3731284,8345.724604399998,13458.9667,6363.8896526,20.80784,1118.43344,10562.46428,5536.020039999999,1854.6398000000002,2112.9380564,2038.9307436,11886.028928,2373.9945893999998,197.49095456,2824.5070438000002,6012.4793534,6239.8643252,6308.3240574,3860.7366008,43.395259861999996,2061.3590328,5186.3725582,3815.9652346,5136.7918458,781.83976,6408.4662,9119.5852,546.16313038,5053.6381808,7686.621959799999,4499.674872,2569.2899808,564.1641922,5675.5646122,8518.5785008,4959.4757274,2566.6172914
2055,19.472,1032.53,8793.4792,9913.3996,8850.2655,,1828.128,2221.182406,2599.987594,13141.81867,2305.830042,278.62249999999995,3094.987,5949.737,8481.2075,2294.7943335,268.9895,2528.6375000000003,5060.3925,7695.468000000001,1303.21583315,46.28879688,940.5436875,5301.4725,10625.258,8693.850629999999,5598.9580000000005,46.26048438,879.6871875,4913.6045,8733.23,9490.452695999998,5889.878000000001,41.36907813,912.8553125,5232.072,11051.55,8687.911898999999,5407.854,43.19090234,904.8639999999999,5372.2195,10638.207,8510.527892,5732.694,45.16827344,873.3844375,5127.5475,9167.599,9014.681581,5885.749,9746.867,12204.5751,9305.863000000001,1249.301532,6251.702784,12000.051290000001,6653.938004,3105.266916,20.647199999999998,1024.4292,8804.456750000001,11134.229500000001,1869.3180000000002,20.5714,976.78585,8086.140649999999,9464.681,5713.476699999999,459.90775565,267.6086262,5497.78694,5069.8202275,3665.7097089999997,160.3312769,4185.644534,2871.3299705,3039.061853,10129.8299465,160.62100049999998,4632.5503675,4109.106251,3464.164826,10675.525255,199.08929690000002,5583.464,2938.797469,4712.437276000001,2769.0165045,132.6395,1371.9924999999998,7971.8145,6607.548,5687.1796665,4210.341534499999,193.68349999999998,2951.1454999999996,6050.2235,7656.343999999999,2303.2166665000004,3554.199113,43.075,941.15,17455.0,7913.5,10115.0,41.605000000000004,1454.5,21590.0,8372.0,13400.0,42.724999999999994,2477.0,10552.0,9725.0,17650.0,913.30756925,9912.1855535,14923.399324999998,6646.411948999999,1091.9882465,8241.9974965,14269.888190000001,6626.5109680000005,21.1283,1137.3542,10776.0338,5663.7651,1947.8310000000001,2239.3025470000002,2183.139703,12020.08455,2477.7772729999997,199.90325925000002,2971.4283565000005,6233.265934000001,6500.9452975,6846.0703355000005,4027.95579,43.142639165,2120.3643795,5331.910400000001,3912.044678,5517.900024500001,782.645,6506.1669999999995,9497.963,542.3510371,5247.1697055,8041.093626499999,4665.563394,2638.0110815000003,553.73213635,5887.99612,8917.278914,5145.68228,2639.8265195
2056,19.806420000000003,1032.09202,8874.90324,9973.543580000001,9155.89068,,1909.2294,2347.6709874,2698.9787752,13209.829386000001,2422.4503522,278.0044,3257.3624,6144.3496,8752.819800000001,2484.1124002,270.10859999999997,2679.0968000000003,5322.606,7930.366,1424.1641331199999,45.703411722,960.756575,5471.0662,10834.867199999999,9121.149625999999,5619.8991000000005,45.87433438,898.0990875,5139.3276000000005,8943.7374,9822.046794799999,5949.127600000001,41.222248442,939.5971626,5364.6504,11180.105399999999,9202.4249472,5485.7507000000005,43.220194528,930.7944,5534.3026,10791.090400000001,8961.9188636,5770.1425,44.790347658,894.6628125,5346.171899999999,9308.7032,9450.3438308,5944.5863,9997.2336,12499.41182,9626.2764,1255.2579813999998,6461.180662,12414.344192,6895.9500585999995,3180.5294212,20.99662,1036.3499199999999,8996.14106,11304.34224,1964.9511400000001,20.90734,992.94754,8331.919539999999,9656.52032,5949.88322,467.24067565999997,269.89070836,5786.9511052,5170.9185278,3930.9306871999997,160.36816372,4288.2202488,3011.8300032,3083.5179956,10322.2168352,160.5731855,4743.048489999999,4313.9706102,3504.634435,10754.36958,196.12653752,5700.8494,2949.1001002000003,4806.1140958000005,2841.2361664,138.15500000000003,1428.8242,8265.668,6798.5828,5934.7067998,4291.5068426,198.84199999999998,3092.645,6298.7472,7843.573399999999,2501.1741332,3657.0311758000003,43.068,947.78,18032.0,8022.4,10272.0,41.488,1473.0,22280.0,8452.6,13520.0,42.632,2513.4,11371.6,10134.0,17960.0,903.1293672400001,9822.492100200001,15853.358843999998,6906.8966768,1082.6033645999998,8138.270388599999,15080.80968,6889.1322834,21.422719999999998,1150.67736,10860.81352,5791.53904,2041.0222,2365.6670376,2327.3486623999997,12154.140172,2581.5599566,202.31556394,3118.3496692000003,6454.0525146,6762.026269800001,7383.8166136,4195.1749792,42.890018468,2179.3697261999996,5477.448241800001,4008.1241214,5899.008203200001,779.9994399999999,6586.199799999999,9770.5124,538.53894382,5440.7012302,8395.5652932,4831.451916,2706.7321822000004,543.3000805,6100.4276278,9315.979327199999,5331.8888326,2713.0357476
2057,20.14084,1031.65404,8956.32728,10033.68756,9461.51586,,1990.3308,2474.1595687999998,2797.9699564000002,13277.840102,2539.0706624,277.3863,3419.7378,6338.9622,9024.4321,2673.4304669000003,271.22769999999997,2829.5561000000002,5584.8195,8165.264,1545.1124330899997,45.118026564,980.9694625,5640.6599,11044.4764,9548.448622,5640.840200000001,45.48818438,916.5109875,5365.050700000001,9154.2448,10153.640893599999,6008.377200000001,41.075418754,966.3390127,5497.2288,11308.6608,9716.9379954,5563.6474,43.249486716,956.7248,5696.3857,10943.9738,9413.3098352,5807.591,44.412421876,915.9411875,5564.7963,9449.8074,9886.0060806,6003.4236,10247.6002,12794.24854,9946.6898,1261.2144308,6670.658539999999,12828.637094,7137.962113199999,3255.7919264,21.346040000000002,1048.27064,9187.82537,11474.45498,2060.58428,21.243280000000002,1009.10923,8577.698429999999,9848.359639999999,6186.28974,474.57359567,272.17279052000004,6076.1152704,5272.0168281,4196.1516654,160.40505054000002,4390.7959636,3152.3300359000004,3127.9741381999997,10514.6037239,160.5253705,4853.546612499999,4518.8349694,3545.1040439999997,10833.213905,193.16377814,5818.2348,2959.4027314,4899.7909156000005,2913.4558283,143.6705,1485.6559,8559.521499999999,6989.6176,6182.233933099999,4372.672150699999,204.0005,3234.1445,6547.2708999999995,8030.8027999999995,2699.1315999000003,3759.8632386000004,43.061,954.41,18609.0,8131.3,10429.0,41.371,1491.5,22970.0,8533.2,13640.0,42.539,2549.8,12191.2,10543.0,18270.0,892.95116523,9732.7986469,16783.318363,7167.3814046,1073.2184826999999,8034.543280699999,15891.731170000001,7151.7535988,21.71714,1164.00052,10945.59324,5919.31298,2134.2134,2492.0315282,2471.5576217999997,12288.195794,2685.3426402,204.72786863,3265.2709819,6674.839095200001,7023.107242100001,7921.562891699999,4362.3941684,42.637397770999996,2238.3750729,5622.986083600001,4104.2035648,6280.116381900001,777.35388,6666.232599999999,10043.0618,534.72685054,5634.2327549,8750.036959899999,4997.340438,2775.4532829000004,532.86802465,6312.859135600001,9714.679740399999,5518.0953852,2786.2449757
2058,20.475260000000002,1031.21606,9037.75132,10093.831540000001,9767.14104,,2071.4322,2600.6481501999997,2896.9611376000003,13345.850818,2655.6909726,276.7682,3582.1132,6533.5748,9296.0444,2862.7485336,272.3468,2980.0154,5847.032999999999,8400.162,1666.0607330599996,44.532641406,1001.18235,5810.2536,11254.085599999999,9975.747618,5661.7813,45.10203438,934.9228875,5590.773800000001,9364.752199999999,10485.234992400001,6067.6268,40.928589066,993.0808628000001,5629.8072,11437.216199999999,10231.4510436,5641.5441,43.278778904,982.6552,5858.468800000001,11096.8572,9864.7008068,5845.0395,44.034496094,937.2195625,5783.4207,9590.911600000001,10321.6683304,6062.260899999999,10497.9668,13089.08526,10267.103200000001,1267.1708801999998,6880.136418,13242.929995999999,7379.974167799999,3331.0544316,21.69546,1060.19136,9379.509680000001,11644.567720000001,2156.21742,21.57922,1025.27092,8823.47732,10040.19896,6422.69626,481.90651568,274.45487268000005,6365.2794355999995,5373.1151284,4461.3726436,160.44193736,4493.3716784,3292.8300686000002,3172.4302807999998,10706.9906126,160.4775555,4964.0447349999995,4723.6993286,3585.573653,10912.05823,190.20101876,5935.620199999999,2969.7053626,4993.4677354000005,2985.6754902000002,149.186,1542.4876,8853.375,7180.6524,6429.761066399999,4453.8374588,209.159,3375.6440000000002,6795.794599999999,8218.0322,2897.0890666000005,3862.6953014,43.054,961.04,19186.0,8240.2,10586.0,41.254000000000005,1510.0,23660.0,8613.8,13760.0,42.446,2586.2,13010.8,10952.0,18580.0,882.7729632200001,9643.1051936,17713.277882,7427.8661324,1063.8336007999999,7930.8161728,16702.65266,7414.3749142,22.01156,1177.32368,11030.372959999999,6047.08692,2227.4046000000003,2618.3960188,2615.7665811999996,12422.251416,2789.1253238,207.14017332,3412.1922946000004,6895.625675800001,7284.188214400001,8459.309169799999,4529.6133576,42.384777074,2297.3804195999996,5768.523925400001,4200.2830082,6661.2245606000015,774.70832,6746.2654,10315.6112,530.91475726,5827.7642796,9104.5086266,5163.22896,2844.1743836000005,522.4359688000001,6525.290643400001,10113.3801536,5704.3019378,2859.4542038
2059,20.80968,1030.7780799999998,9119.17536,10153.97552,10072.76622,,2152.5336,2727.1367316,2995.9523188,13413.861534,2772.3112828,276.15009999999995,3744.4885999999997,6728.1874,9567.6567,3052.0666003000006,273.4659,3130.4747,6109.246499999999,8635.060000000001,1787.0090330299995,43.947256248,1021.3952375,5979.847299999999,11463.6948,10403.046614,5682.7224,44.71588438,953.3347875000001,5816.4969,9575.2596,10816.829091200001,6126.8764,40.781759378,1019.8227129,5762.3856,11565.7716,10745.9640918,5719.440799999999,43.308071092,1008.5856,6020.5519,11249.7406,10316.0917784,5882.488,43.656570312,958.4979375,6002.0451,9732.015800000001,10757.3305802,6121.098199999999,10748.333400000001,13383.921980000001,10587.5166,1273.1273296,7089.614296,13657.222898,7621.9862224,3406.3169368000003,22.04488,1072.1120799999999,9571.19399,11814.68046,2251.8505600000003,21.91516,1041.43261,9069.25621,10232.03828,6659.102779999999,489.23943569,276.73695484,6654.443600799999,5474.2134287,4726.5936218,160.47882418,4595.947393199999,3433.3301013,3216.8864234,10899.3775013,160.42974049999998,5074.5428575,4928.5636878000005,3626.043262,10990.902555,187.23825938,6053.0055999999995,2980.0079938,5087.1445552000005,3057.8951521,154.7015,1599.3193,9147.228500000001,7371.687199999999,6677.2881996999995,4535.002766899999,214.3175,3517.1435,7044.3183,8405.2616,3095.0465333,3965.5273642,43.047,967.67,19763.0,8349.1,10743.0,41.137,1528.5,24350.0,8694.4,13880.0,42.352999999999994,2622.6,13830.400000000001,11361.0,18890.0,872.59476121,9553.4117403,18643.237401,7688.3508602,1054.4487189,7827.089064899999,17513.57415,7676.9962296,22.30598,1190.64684,11115.15268,6174.86086,2320.5958,2744.7605094,2759.9755405999995,12556.307037999999,2892.9080074,209.55247801000002,3559.1136073000007,7116.412256400001,7545.269186700001,8997.055447899998,4696.8325468,42.132156376999994,2356.3857663,5914.061767200001,4296.3624516,7042.332739300002,772.06276,6826.2982,10588.1606,527.10266398,6021.2958043,9458.9802933,5329.117482,2912.8954843,512.0039129500001,6737.722151200001,10512.0805668,5890.5084904000005,2932.6634319
2060,21.1441,1030.3401,9200.5994,10214.1195,10378.3914,,2233.635,2853.625313,3094.9435,13481.87225,2888.931593,275.532,3906.864,6922.8,9839.269,3241.3846670000003,274.585,3280.934,6371.46,8869.958,1907.9573329999998,43.36187109,1041.608125,6149.441,11673.303999999998,10830.34561,5703.6635,44.32973438,971.7466875,6042.22,9785.767,11148.423190000001,6186.126,40.63492969,1046.5645630000001,5894.964,11694.327,11260.47714,5797.3375,43.33736328,1034.516,6182.635,11402.624,10767.48275,5919.9365,43.27864453,979.7763125,6220.6695,9873.12,11192.99283,6179.9355,10998.7,13678.7587,10907.93,1279.0837789999998,7299.092173999999,14071.5158,7863.998277,3481.579442,22.3943,1084.0328,9762.8783,11984.7932,2347.4837,22.2511,1057.5943,9315.0351,10423.8776,6895.5093,496.5723557,279.019037,6943.607766,5575.311729,4991.8146,160.515711,4698.523107999999,3573.8301340000003,3261.342566,11091.76439,160.3819255,5185.04098,5133.428047,3666.512871,11069.74688,184.2755,6170.391,2990.310625,5180.821375,3130.114814,160.217,1656.151,9441.082,7562.722,6924.815333,4616.168075,219.476,3658.643,7292.842,8592.491,3293.0040000000004,4068.3594270000003,43.04,974.3,20340.0,8458.0,10900.0,41.02,1547.0,25040.0,8775.0,14000.0,42.26,2659.0,14650.0,11770.0,19200.0,862.4165592,9463.718287,19573.19692,7948.835588,1045.063837,7723.361956999999,18324.49564,7939.617545,22.6004,1203.97,11199.9324,6302.6348,2413.7870000000003,2871.125,2904.1845,12690.362659999999,2996.690691,211.9647827,3706.0349200000005,7337.198837000001,7806.3501590000005,9534.801726,4864.051736,41.87953568,2415.3911129999997,6059.599609000001,4392.441895,7423.440918000001,769.4172,6906.331,10860.71,523.2905707,6214.827329,9813.451959999999,5495.006004,2981.616585,501.57185710000005,6950.1536590000005,10910.78098,6076.715043,3005.87266
2061,21.494320000000002,1031.6838,9192.73714,10181.214880000001,10685.71536,,2305.6960000000004,2974.4911504,3116.6627811999997,13546.719508,3070.9479417999996,276.41999999999996,3983.5593,7237.1324,10043.9406,3643.3793003,275.39059999999995,3425.9480000000003,6599.8755,9110.3857,2145.3270663999997,42.609084372,1058.00305,6278.894,11898.165399999998,11134.094032,5729.3287,43.890860159999995,986.215025,6247.030900000001,9935.9302,11441.735502000001,6193.8513,40.428621096,1063.8280754000002,6016.1545,11919.0036,11483.908476,5840.798,43.328849999999996,1045.531175,6309.618,11649.6268,11052.07188,5968.5489,42.95620078,992.61335,6415.7251,10057.1682,11461.997016,6188.501,11182.102,13848.66309,11108.35,1288.2417747999998,7534.4537234,14420.880739999999,8154.543146999999,3540.2136212,22.74856,1088.57045,9859.13802,12023.39007,2400.8350600000003,22.62126,1079.93357,9451.489969999999,10486.44961,7079.071779999999,496.12816034,281.15400249000004,7222.7640198,5628.0709726000005,5243.1550907,160.4844895,4815.2216191,3720.6938669,3291.9069075999996,11297.124956,160.26011086,5300.5981479,5320.3715455,3698.7377048,11207.434609,184.38829063,6183.3369999999995,2921.1839,5337.6217322,3180.6161427,166.5796,1721.0229,9745.6345,7879.471799999999,7100.671599699999,4588.358364299999,224.5554,3738.7057,7627.0743,8857.388500000001,3684.2322000000004,4079.5255976000003,43.068,974.92,20740.0,8521.2,10940.0,40.867000000000004,1551.1,25699.0,8871.1,14070.0,42.059,2678.5,15609.0,12136.0,19330.0,860.43415484,9508.0465698,20070.649289999998,8246.6653622,1050.2111487,7696.094877399999,18741.915680000002,8235.7273825,22.8976,1219.22936,11200.17414,6444.38356,2477.6177000000002,2959.0128624999998,2895.2951593999996,12856.550519999999,2938.4198967999996,215.40004271,3828.5400257000006,7680.444341300001,8209.712250100001,9757.8972514,4881.776644400001,41.620868687,2443.8095700999997,6142.7156247,4519.0736332,7823.091260200001,765.55948,7061.2355,11041.262999999999,526.66545861,6399.3602806,10092.009927,5657.5336249,3047.5254027,503.60009846,7160.6417743,11164.881274,6350.5165482,3075.6845523
2062,21.844540000000002,1033.0275,9184.87488,10148.31026,10993.03932,,2377.757,3095.3569878,3138.3820624,13611.566766,3252.9642906,277.308,4060.2546,7551.4648,10248.6122,4045.3739336000003,276.1962,3570.9620000000004,6828.291,9350.813400000001,2382.6967998,41.856297654,1074.397975,6408.347,12123.0268,11437.842454,5754.9938999999995,43.45198594,1000.6833625,6451.8418,10086.0934,11735.047814000001,6201.5766,40.222312502,1081.0915878,6137.345,12143.680199999999,11707.339812,5884.2585,43.32033672,1056.54635,6436.601000000001,11896.6296,11336.66101,6017.1613,42.63375703,1005.4503874999999,6610.7807,10241.216400000001,11731.001202,6197.0665,11365.504,14018.56748,11308.77,1297.3997705999998,7769.8152728,14770.24568,8445.088017,3598.8478004000003,23.10282,1093.1081,9955.39774,12061.98694,2454.18642,22.99142,1102.27284,9587.94484,10549.02162,7262.63426,495.68396498000004,283.28896798,7501.920273600001,5680.8302162,5494.4955813999995,160.453268,4931.920130199999,3867.5575998000004,3322.4712492,11502.485522,160.13829622,5416.1553158,5507.315044,3730.9625386,11345.122338000001,184.50108126,6196.282999999999,2852.057175,5494.4220894,3231.1174714,172.9422,1785.8948,10050.187,8196.221599999999,7276.5278664,4560.5486536,229.63479999999998,3818.7684,7961.3066,9122.286,4075.4604000000004,4090.6917682000003,43.096,975.54,21140.0,8584.4,10980.0,40.714000000000006,1555.2,26358.0,8967.2,14140.0,41.858,2698.0,16568.0,12502.0,19460.0,858.45175048,9552.3748526,20568.10166,8544.4951364,1055.3584604,7668.8277978,19159.33572,8531.83722,23.1948,1234.48872,11200.41588,6586.13232,2541.4484,3046.900725,2886.4058188,13022.738379999999,2880.1491026,218.83530272000002,3951.0451314000006,8023.689845600001,8613.074341200001,9980.9927768,4899.5015528,41.362201694,2472.2280272,6225.831640400001,4645.7053714,8222.741602400001,761.70176,7216.14,11221.815999999999,530.04034652,6583.8932322,10370.567893999998,5820.0612458,3113.4342204,505.62833982,7371.129889600001,11418.981568,6624.3180534,3145.4964446
