2043,1852.9033800000002,6298.909309999999,5876.005649999999,2550.37418,11902.826,4824.67854,5350.6024,12565.306,8429.962,-7133.086,790.3714,-3570.4619999999995,8384.7300115,4439.377936699999,736.6808140000003,4454.4111044,4557.0512294,6424.865282000001,3527.9921428,3065.709758,5187.3203904,8839.7673106,5624.2557782,3548.9447124000008,2366.621432759999,4780.1732221,15717.19,7442.9147075,13476.526873900002,4281.12449138,4320.589029719999,15165.682363199998,14997.743812200002,10546.7575873,14316.0301034,11542.6885793,9200.5671854,9248.6903781,6332.0334218,5561.9850750000005,16449.8906,4150.8264252,6412.6528878,15889.88345,9306.660448999999,3784.11958014,4886.647033699999,2867.5411010000003,2766.24208606,13483.6576164,13823.0009784,10454.1050318,6322.8673831,12982.8319356,5735.6406735,2889.6855467,4948.097583,2787.4523925,897.9565920000005,4743.565,6350.216400000001,11617.2912,-620.8931999999995,8504.366399999999,-3492.8911999999996,12615.3,3861.1000000000004,15874.2,6795.729160000001,14508.144919999999,13368.73266,8928.65784,10920.557819999998,6937.2831400000005,10544.46254,10465.385059999999,-3864.7744599999996,7633.771159999999,331.4150800000002,3575.68062,6533.2302,3780.1118400000005,10474.915359999999,15911.03778,13412.7501,6135.135584600001,7757.9575112,8202.1097618,13763.901296,5541.51879
2044,654.6081400000003,5655.43908,5093.610199999999,1135.47134,10886.754099999998,4366.02282,4883.4818000000005,11220.008,7185.616,-7899.838,-19.204799999999977,-3909.8059999999996,7653.012682,2740.5827685999993,-653.7317679999996,3235.5676432,3456.0517582,5217.391666,3180.3061604,2881.575908,4313.3200362,7626.5266608,4370.7006836,2473.6849772000005,1518.7918336799994,4235.582226799999,14653.02,6774.399058,12457.3473852,3594.8015718399997,3633.1014739599996,14365.1074276,14163.200289600001,9839.9324364,13525.884811200001,10412.2994924,8426.046447199999,8318.5688208,5818.2626084,4561.41785,15253.74155,3218.6300876,5559.6759753999995,14648.1351,8346.985742,3316.8799805199997,4383.2023926,2607.551953,2355.13821108,12774.056835200001,13084.4091812,10044.2533224,6074.6197268,12300.7462908,5524.694238,1820.7807616,4046.608789,1722.439453,-178.6832029999996,3604.1809999999996,3972.711800000001,9595.1716,-1503.4675999999995,7386.1651999999995,-3811.2706,11350.4,2273.8,13785.6,5707.476180000001,13505.34136,12109.02978,7660.41562,8290.87906,5696.36512,8339.54652,8674.524379999999,-4426.468779999999,6633.3834799999995,-396.08556,2979.55996,5489.367200000001,2927.8311200000003,9539.86858,14750.63204,12445.0356,5701.5357838,7248.6152856,7798.775489400001,13225.468788,4885.816769999999
2045,-543.6871,5011.968849999999,4311.214749999999,-279.4315,9870.6822,3907.3671,4416.3612,9874.71,5941.27,-8666.59,-828.7810000000001,-4249.15,6921.295352499999,1041.7876004999998,-2044.1443499999996,2016.724182,2355.052287,4009.91805,2832.620178,2697.4420579999996,3439.319682,6413.286011,3117.145589,1398.425242,670.9622346,3690.9912314999997,13588.85,6105.8834085,11438.167896500001,2908.4786523,2945.6139181999997,13564.532491999998,13328.656767,9133.1072855,12735.739519,9281.910405499999,7651.525709,7388.4472635,5304.491795,3560.850625,14057.5925,2286.43375,4706.699063,13406.38675,7387.311035,2849.6403809,3879.7577515,2347.562805,1944.0343361,12064.456054,12345.817384,9634.401613,5826.3720705,11618.660646,5313.7478025,751.8759765000004,3145.119995,657.4265134999996,-1255.3229979999996,2464.797,1595.2072,7573.052,-2386.042,6267.964,-4129.65,10085.5,686.5,11697.0,4619.2232,12502.5378,10849.3269,6392.1734,5661.2003,4455.4471,6134.6305,6883.6637,-4988.1631,5632.9958,-1123.5862,2383.4393,4445.5042,2075.5504,8604.8218,13590.2263,11477.3211,5267.935983,6739.2730599999995,7395.4412170000005,12687.03628,4230.11475
2046,-517.59844,4368.498619999999,3528.8193,-1215.0732600000001,9502.161059999999,3475.77318,4004.49728,8714.232,4939.042200000001,-9045.052,-1265.0648,-4265.114,6189.578023,-657.0075676000015,-3434.5569319999995,1356.0549438,1909.59145678,2985.3883178,1868.4749672,2014.1393549999998,2495.7439474,5311.15303774,2389.87514632,1025.7653355,82.78077387999986,3146.4002362,12524.68,5437.367759000001,10418.988407800001,2222.1557327599994,2258.126362439999,12763.957556399999,12494.113244400001,8426.282134600002,11945.5942268,8151.521318599999,6877.004970799999,6458.325706199999,4790.7209815999995,2792.0658375000003,13079.33445,1391.6541750000001,3814.5274379,12440.3018,6681.4770994,2382.40078128,3376.3131103999995,2087.573657,1532.93046112,11354.8552728,11607.2255868,9224.5499036,5578.1244142,10936.575001199999,5102.801367,-317.02880860000005,2243.6312009999992,-407.58642599999985,-2331.9627929999997,1592.8624,115.80808000000002,6206.68578,-2736.5202,5248.3446,-4336.209199999999,8820.599999999999,-900.7999999999993,9608.400000000001,3714.29626,11272.14212,9589.49638,5310.628919999999,3720.9393600000003,3456.1161800000004,4421.45784,5281.65782,-5141.19236,4798.0032,-1502.14168,1853.85834,3650.5959000000003,1370.45124,8079.62302,12681.52038,10616.13594,4834.336182200001,6229.9308344,6957.3690984,12215.786024,3732.7690755999997
2047,-491.50978,3725.0283899999995,2746.42385,-2150.71502,9133.63992,3044.17926,3592.6333600000003,7553.753999999999,3936.8144,-9423.514,-1701.3486,-4281.0779999999995,5457.8606935,-2355.802735700001,-4824.9695139999985,695.3857056000002,1464.1306265599999,1960.8585856,904.3297564,1330.8366519999997,1552.1682127999998,4209.020064480001,1662.60470364,653.105429,-505.4006868400003,2601.8092409,11460.51,4768.852109500001,9399.8089191,1535.8328132199995,1570.638806679999,11963.3826208,11659.569721800002,7719.456983700001,11155.448934600001,7021.1322316999995,6102.484232599999,5528.204148899999,4276.950168199999,2023.28105,12101.0764,496.8745999999999,2922.3558128,11474.216849999999,5975.6431637999995,1915.1611816599998,2872.8684692999996,1827.5845090000003,1121.82658614,10645.2544916,10868.6337896,8814.698194199998,5329.8767579000005,10254.4893564,4891.8549315,-1385.9335937000005,1342.1424069999994,-1472.5993654999993,-3408.6025879999997,720.9278000000002,-1363.59104,4840.31956,-3086.9984,4228.7252,-4542.7684,7555.699999999999,-2488.1000000000004,7519.800000000001,2809.3693200000002,10041.746439999999,8329.665860000001,4229.08444,1780.6784200000002,2456.7852600000006,2708.28518,3679.6519399999997,-5294.22162,3963.0105999999996,-1880.6971600000002,1324.27738,2855.6876,665.3520800000001,7554.42424,11772.81446,9754.95078,4400.7363814,5720.5886088,6519.2969798,11744.535768,3235.4234011999997
2048,-465.42112,3081.5581599999996,1964.0284000000001,-3086.3567800000005,8765.11878,2612.58534,3180.76944,6393.276,2934.5866000000005,-9801.975999999999,-2137.6324,-4297.042,4726.143364,-4054.5979038000005,-6215.382095999999,34.71646740000028,1018.6697963399997,936.3288533999998,-59.81545439999991,647.5339489999997,608.5924781999997,3106.88709122,935.3342609599999,280.4455224999999,-1093.5821475600005,2057.2182456,10396.34,4100.33646,8380.6294304,849.5098936799995,883.1512509199993,11162.8076852,10825.026199200001,7012.631832800001,10365.3036424,5890.743144799999,5327.963494399999,4598.082591599999,3763.1793547999996,1254.4962624999998,11122.818350000001,-397.9049750000004,2030.1841876999997,10508.1319,5269.8092282,1447.92158204,2369.4238281999997,1567.5953610000001,710.72271116,9935.6537104,10130.0419924,8404.8464848,5081.6291016000005,9572.4037116,4680.908496,-2454.8383788,440.6536129999995,-2537.6123049999997,-4485.242383,-151.00679999999966,-2842.9901600000003,3473.95334,-3437.4766,3209.1058000000003,-4749.3276,6290.799999999999,-4075.3999999999996,5431.200000000001,1904.4423800000004,8811.35076,7069.83534,3147.5399599999996,-159.58251999999993,1457.4543400000002,995.1125199999997,2077.64606,-5447.25088,3128.018,-2259.25264,794.69642,2060.7793,-39.747080000000096,7029.22546,10864.108540000001,8893.76562,3967.1365806000003,5211.246383199999,6081.2248612,11273.285512,2738.0777268
2049,-439.33246,2438.0879299999997,1181.6329500000002,-4021.9985400000005,8396.59764,2180.9914200000003,2768.9055200000003,5232.798,1932.3588000000004,-10180.438,-2573.9162,-4313.006,3994.4260344999993,-5753.3930719,-7605.794678,-625.9527707999996,573.2089661199998,-88.20087880000028,-1023.9606652000002,-35.76875400000017,-334.9832564000003,2004.7541179600003,208.06381827999985,-92.21438400000011,-1681.7636082800004,1512.6272503,9332.17,3431.8208105000003,7361.449941700001,163.18697413999962,195.6636951599994,10362.2327496,9990.4826766,6305.8066819000005,9575.1583502,4760.354057899998,4553.442756199999,3667.9610342999986,3249.408541399999,485.71147500000006,10144.560300000001,-1292.6845500000004,1138.0125626,9542.04695,4563.9752926,980.6819824200002,1865.9791870999998,1307.606213,299.61883618,9226.0529292,9391.4501952,7994.9947753999995,4833.3814453,8890.318066799999,4469.9620605,-3523.7431638999997,-460.8351810000004,-3602.6252445,-5561.882177999999,-1022.9413999999997,-4322.38928,2107.58712,-3787.9548,2189.4864000000002,-4955.8868,5025.9,-5662.699999999999,3342.600000000002,999.5154400000001,7580.95508,5810.00482,2065.9954799999996,-2099.84346,458.12342000000035,-718.0601400000005,475.6401799999994,-5600.28014,2293.0254,-2637.80812,265.11546,1265.871,-744.8462399999999,6504.02668,9955.40262,8032.58046,3533.5367798,4701.9041576,5643.1527426,10802.035256,2240.7320524
2050,-413.2438,1794.6177,399.2375,-4957.6403,8028.0765,1749.3975,2357.0416,4072.32,930.1310000000001,-10558.9,-3010.2,-4328.97,3262.708705,-7452.18824,-8996.20726,-1286.622009,127.74813590000002,-1112.730611,-1988.105876,-719.071457,-1278.558991,902.6211447000001,-519.2066244,-464.87429050000003,-2269.9450690000003,968.0362550000001,8268.0,2763.3051609999998,6342.270453,-523.1359454,-491.82386060000005,9561.657814,9155.939154000002,5598.981531,8785.013058,3629.964971,3778.9220179999998,2737.839477,2735.637728,-283.0733125,9166.30225,-2187.464125,245.8409375,8575.962,3858.141357,513.4423828,1362.534546,1047.6170650000001,-111.4850388,8516.452148,8652.858398,7585.143066,4585.133789,8208.232422,4259.015625,-4592.647949,-1362.323975,-4667.638184,-6638.521973,-1894.876,-5801.7884,741.2209,-4138.433,1169.867,-5162.446,3761.0,-7250.0,1254.0,94.5885,6350.5594,4550.1743,984.451,-4040.1044,-541.2075,-2431.2328,-1126.3657,-5753.3094,1458.0328,-3016.3636,-264.4655,470.9627,-1449.9454,5978.8279,9046.6967,7171.3953,3099.936979,4192.561932,5205.080624,10330.785,1743.3863780000001
2051,-1076.3761,1397.03901,-130.29689000000002,-5266.61856,6998.846820000001,1216.17468,1883.3912,3044.2560000000003,162.93880000000001,-10632.24,-3195.478,-4311.682,2873.07795127,-8025.680244,-9062.3659954,-2047.7618975999999,-584.01508919,-1529.019761,-2603.7623946000003,-1400.2089320999999,-1694.1188472000001,506.78327333000004,-1102.3588501600002,-1070.20431345,-2372.3741990000003,706.2327750000002,7528.45,2244.0676559,5686.83184147,-1349.8546309600001,-1333.51858194,8648.7774763,8270.69985086,4938.980052100001,7959.223422,2863.9941885999997,3249.9613554,1753.7346255,2455.297980244,-857.5529626,8381.81845,-2778.6227626,-430.950425,7718.9574999999995,3167.4636227,-22.33017577999999,746.4515992000001,637.5065548000001,-592.7719353199999,7838.3454342,7971.3812862,7080.870727199999,4451.566455,7550.452832099999,4140.9168213,-5071.4948729,-1747.9335697000001,-5117.994385100001,-7080.7678227,-2653.7241999999997,-6678.588580000001,-216.81547999999987,-4381.9356,180.83800000000008,-5315.9496,2753.4,-7573.0,-155.4000000000001,-742.38872,4985.57998,3374.0954999999994,82.0598,-5389.6108,-1389.07936,-3661.1461000000004,-2315.08266,-5807.06204,613.67734,-3192.9038,-722.6623000000001,-242.25640000000004,-2114.9188,5610.13024,8352.81026,6455.8373,2720.36881823,3754.8889474,4761.6617134,9788.5694446,1278.7102885000002
2052,-1739.5084,999.46032,-659.8312800000001,-5575.59682,5969.61714,682.9518600000001,1409.7408,2016.1920000000005,-604.2534,-10705.58,-3380.756,-4294.394,2483.44719754,-8599.172248,-9128.5247308,-2808.9017862,-1295.7783142800001,-1945.3089109999999,-3219.4189132,-2081.3464071999997,-2109.6787034,110.94540196000003,-1685.5110759200002,-1675.5343364,-2474.8033290000003,444.42929500000014,6788.9,1724.8301508,5031.39322994,-2176.57331652,-2175.21330328,7735.8971386,7385.460547720001,4278.9785732,7133.4337860000005,2098.0234062,2721.0006928,769.629774,2174.9582324880002,-1432.0326126999998,7597.334650000001,-3369.7814002,-1107.7417875,6861.9529999999995,2476.7858883999997,-558.10273436,130.3686524000002,227.3960446000001,-1074.0588318399998,7160.238720400001,7289.904174400001,6576.5983884,4317.999121000001,6892.6732422,4022.8180176,-5550.3417968,-2133.5431644,-5568.3505862,-7523.0136724,-3412.5723999999996,-7555.38876,-1174.8518599999998,-4625.4382,-808.1909999999998,-5469.4532,1745.8,-7896.0,-1564.8000000000002,-1579.36594,3620.60056,2198.0166999999997,-820.3314,-6739.1172,-2236.95122,-4891.0594,-3503.79962,-5860.81468,-230.67812000000004,-3369.444,-1180.8591000000001,-955.4755,-2779.8922000000002,5241.432580000001,7658.92382,5740.2793,2340.80065746,3317.2159628,4318.2428028,9246.3538892,814.0341990000001
2053,-2402.6407,601.8816300000001,-1189.3656700000001,-5884.5750800000005,4940.38746,149.72904000000017,936.0904,988.1280000000006,-1371.4456000000002,-10778.92,-3566.034,-4277.106,2093.81644381,-9172.664252,-9194.6834662,-3570.0416748,-2007.5415393700002,-2361.5980609999997,-3835.0754318,-2762.4838823,-2525.2385596000004,-284.8924694100001,-2268.6633016800006,-2280.86435935,-2577.2324590000003,182.62581500000022,6049.35,1205.5926457,4375.95461841,-3003.2920020799997,-3016.9080246200006,6823.0168009,6500.221244580001,3618.9770943000003,6307.64415,1332.0526237999998,2192.0400302,-214.47507749999977,1894.618484732,-2006.5122627999997,6812.85085,-3960.9400378,-1784.5331499999998,6004.9485,1786.1081540999999,-1093.8752929400002,-485.71429439999974,-182.7144655999998,-1555.3457283599996,6482.1320066,6608.4270626,6072.3260496,4184.431787,6234.893652299999,3904.7192139,-6029.1887207,-2519.1527591000004,-6018.7067873,-7965.2595221,-4171.4205999999995,-8432.18894,-2132.8882399999993,-4868.9408,-1797.2199999999996,-5622.9568,738.1999999999998,-8219.0,-2974.2000000000007,-2416.3431600000004,2255.6211399999997,1021.9378999999999,-1722.7226,-8088.623599999999,-3084.8230799999997,-6120.9727,-4692.51658,-5914.56732,-1075.0335800000003,-3545.9842,-1639.0559,-1668.6945999999998,-3444.8656,4872.734920000001,6965.037380000001,5024.7213,1961.23249669,2879.5429781999997,3874.8238922,8704.1383338,349.35810949999996
2054,-3065.773,204.30294000000004,-1718.9000600000002,-6193.55334,3911.1577800000005,-383.4937799999998,462.44000000000005,-39.93599999999924,-2138.6378000000004,-10852.26,-3751.312,-4259.818,1704.1856900799999,-9746.156256,-9260.8422016,-4331.1815634,-2719.3047644600006,-2777.8872109999998,-4450.731950400001,-3443.6213574,-2940.7984158,-680.73034078,-2851.8155274400006,-2886.1943823,-2679.6615890000003,-79.17766499999982,5309.8,686.3551406000001,3720.51600688,-3830.01068764,-3858.6027459600004,5910.1364632,5614.981941440001,2958.9756154,5481.854514000001,566.0818414,1663.0793675999998,-1198.579929,1614.2787369760001,-2580.9919129,6028.36705,-4552.0986754000005,-2461.3245125,5147.944,1095.4304198,-1629.6478515200001,-1101.7972411999997,-592.8249758,-2036.6326248799996,5804.0252928,5926.9499508,5568.0537108,4050.864453,5577.1140624,3786.6204102,-6508.0356446000005,-2904.7623538,-6469.0629884,-8407.5053718,-4930.268799999999,-9308.98912,-3090.92462,-5112.4434,-2786.249,-5776.4604,-269.4000000000001,-8542.0,-4383.6,-3253.32038,890.6417199999996,-154.14090000000033,-2625.1138,-9438.13,-3932.69494,-7350.886,-5881.23354,-5968.319960000001,-1919.38904,-3722.5244000000002,-2097.2527,-2381.9137,-4109.839,4504.03726,6271.15094,4309.1633,1581.66433592,2441.8699936,3431.4049816,8161.9227783999995,-115.31798000000003
2055,-3728.9053,-193.27575000000002,-2248.4344499999997,-6502.5316,2881.9281,-916.7166,-11.2104,-1068.0,-2905.83,-10925.6,-3936.59,-4242.53,1314.55493635,-10319.64826,-9327.000937,-5092.321452,-3431.0679895500007,-3194.176361,-5066.3884689999995,-4124.7588325,-3356.3582720000004,-1076.56821215,-3434.9677532000005,-3491.52440525,-2782.0907190000003,-340.98114499999986,4570.25,167.11763550000023,3065.07739535,-4656.729373200001,-4700.297467300001,4997.2561255,4729.742638300001,2298.9741365,4656.064878,-199.8889409999997,1134.1187049999999,-2182.6847805,1333.9389892200002,-3155.471563,5243.88325,-5143.257313,-3138.115875,4290.9395,404.7526855000001,-2165.4204101,-1717.8801879999999,-1002.9354860000001,-2517.9195213999997,5125.918579,5245.472839,5063.7813719999995,3917.297119,4919.3344725,3668.5216065,-6986.8825685,-3290.3719485,-6919.4191895,-8849.7512215,-5689.116999999999,-10185.7893,-4048.961,-5355.946,-3775.278,-5929.964,-1277.0,-8865.0,-5793.0,-4090.2976,-474.3377,-1330.2197,-3527.505,-10787.6364,-4780.5668,-8580.7993,-7069.9505,-6022.0726,-2763.7445,-3899.0646,-2555.4495,-3095.1328,-4774.8124,4135.3396,5577.2645,3593.6053,1202.09617515,2004.197009,2987.9860710000003,7619.707222999999,-579.9940695
2056,-4034.9155,-590.8544399999998,-2777.96884,-6606.681320000001,2286.0421800000004,-1253.81648,-329.07570000000004,-1886.222,-3410.714,-10851.58,-3941.3140000000003,-4212.534,924.9241826199996,-10893.140264,-9393.1596724,-5583.7391116,-4142.83121464,-3610.4655109999994,-5682.0449876,-4805.8963076,-3771.9181282,-1472.4060835200003,-4018.1199789600005,-4096.8544282,-2884.5198490000002,-602.7846249999997,3830.7000000000007,-352.1198695999997,2409.63878382,-5483.44805876,-5541.992188640002,4084.3757877999997,3844.5033351600014,1638.9726576000003,3830.2752419999997,-965.8597234000003,605.1580423999999,-3166.7896319999995,1053.599241464,-3668.663888,4635.157775,-5745.0646816,-3714.62665,3595.2261500000004,-285.92504880000024,-2701.1929686800004,-2333.9631347999994,-1413.0459961999998,-2999.2064179199992,4447.811865199999,4563.995727199999,4559.5090332,3783.729785,4261.5548825999995,3550.4228027999998,-7465.7294924,-3675.9815432000005,-7369.7753906,-9291.9970712,-6287.4003999999995,-10817.704960000001,-4801.393,-5614.5842,-4607.2688,-6022.4086,-2284.6000000000004,-9188.0,-7202.4000000000015,-4744.3319,-1540.90694,-2182.20014,-4103.40962,-11616.82506,-5406.60104,-9415.95096,-7901.01814,-6079.2249,-3484.6222199999997,-3976.17206,-2910.48074,-3729.1415399999996,-5263.34666,3861.09652,5005.7834,3069.76396,822.5280143800001,1566.5240243999997,2497.1706975,7077.4916676,-1044.6701590000002
2057,-4340.9257,-988.4331300000001,-3307.5032300000003,-6710.83104,1690.1562600000002,-1590.91636,-646.9410000000001,-2704.444,-3915.598,-10777.56,-3946.038,-4182.538,535.2934288899996,-11466.632268000001,-9459.3184078,-6075.1567712,-4854.59443973,-4026.7546609999995,-6297.701506200001,-5487.033782699999,-4187.4779844,-1868.2439548900002,-4601.27220472,-4702.18445115,-2986.9489790000002,-864.5881049999997,3091.1500000000005,-871.3573746999996,1754.2001722900004,-6310.16674432,-6383.6869099800015,3171.4954501,2959.2640320200007,978.9711786999997,3004.485606,-1731.8305058,76.19737979999991,-4150.8944835,773.259493708,-4181.856213,4026.4323,-6346.8720502,-4291.137425,2899.5128000000004,-976.6027830999997,-3236.9655272600003,-2950.0460815999995,-1823.1565064,-3480.4933144399993,3769.7051513999995,3882.5186153999994,4055.2366944,3650.162451,3603.7752927,3432.3239991,-7944.5764163,-4061.5911379,-7820.131591699999,-9734.2429209,-6885.683799999999,-11449.62062,-5553.825,-5873.2224,-5439.259599999999,-6114.8532,-3292.2,-9511.0,-8611.800000000001,-5398.3662,-2607.47618,-3034.18058,-4679.31424,-12446.013719999999,-6032.63528,-10251.10262,-8732.08578,-6136.3772,-4205.49994,-4053.27952,-3265.51198,-4363.15028,-5751.88092,3586.8534400000003,4434.3023,2545.9226200000003,442.95985360999975,1128.8510397999999,2006.355324,6535.2761122,-1509.3462485
2058,-4646.9359,-1386.01182,-3837.03762,-6814.98076,1094.2703400000003,-1928.01624,-964.8063000000002,-3522.666,-4420.482,-10703.54,-3950.762,-4152.542,145.6626751599997,-12040.124272000001,-9525.4771432,-6566.574430799999,-5566.3576648200005,-4443.043811,-6913.3580248,-6168.1712578,-4603.0378406,-2264.08182626,-5184.42443048,-5307.5144741,-3089.378109,-1126.3915849999998,2351.6000000000004,-1390.5948797999995,1098.76156076,-7136.885429880001,-7225.381631320001,2258.6151124,2074.024728880001,318.96969979999994,2178.6959699999998,-2497.8012882,-452.76328280000007,-5134.999335,492.9197459520001,-4695.048538,3417.706825,-6948.6794188,-4867.6482,2203.79945,-1667.2805174,-3772.73808584,-3566.1290283999997,-2233.2670166,-3961.7802109599993,3091.5984375999997,3201.0415035999995,3550.9643556,3516.595117,2945.9957028,3314.2251954,-8423.423340199999,-4447.2007326,-8270.487792799999,-10176.4887706,-7483.967199999999,-12081.53628,-6306.257,-6131.8606,-6271.250399999999,-6207.2978,-4299.8,-9834.0,-10021.2,-6052.4005,-3674.0454200000004,-3886.16102,-5255.21886,-13275.202379999999,-6658.66952,-11086.254280000001,-9563.153419999999,-6193.529500000001,-4926.37766,-4130.38698,-3620.54322,-4997.15902,-6240.41518,3312.61036,3862.8212000000003,2022.0812799999999,63.391692839999905,691.1780552,1515.5399505,5993.0605568,-1974.0223380000002
2059,-4952.9461,-1783.5905099999998,-4366.57201,-6919.13048,498.3844200000003,-2265.1161199999997,-1282.6716000000001,-4340.888,-4925.366,-10629.52,-3955.486,-4122.546,-243.96807857000022,-12613.616276,-9591.6358786,-7057.9920904,-6278.120889910001,-4859.332961,-7529.014543400001,-6849.3087329,-5018.5976968,-2659.91969763,-5767.57665624,-5912.84449705,-3191.807239,-1388.1950649999999,1612.0500000000002,-1909.8323848999994,443.3229492299997,-7963.604115440001,-8067.076352660001,1345.7347747000003,1188.7854257400013,-341.03177909999977,1352.9063339999993,-3263.7720705999996,-981.7239454000005,-6119.104186500001,212.5799981959999,-5208.240863,2808.98135,-7550.4867874,-5444.158975,1508.0861,-2357.9582517000003,-4308.51064442,-4182.2119752,-2643.3775268,-4443.067107479999,2413.4917238,2519.5643917999996,3046.6920168000006,3383.0277829999995,2288.2161128999996,3196.1263916999997,-8902.2702641,-4832.8103273,-8720.8439939,-10618.734620300002,-8082.250599999999,-12713.451939999999,-7058.689,-6390.498799999999,-7103.2411999999995,-6299.7424,-5307.4,-10157.0,-11430.6,-6706.4348,-4740.61466,-4738.141460000001,-5831.12348,-14104.39104,-7284.70376,-11921.40594,-10394.22106,-6250.6818,-5647.2553800000005,-4207.4944399999995,-3975.57446,-5631.16776,-6728.94944,3038.3672800000004,3291.3401000000003,1498.23994,-316.17646792999994,253.50507060000018,1024.724577,5450.8450014,-2438.6984275000004
2060,-5258.9563,-2181.1692,-4896.1064,-7023.2802,-97.5015,-2602.216,-1600.5369,-5159.11,-5430.25,-10555.5,-3960.21,-4092.55,-633.5988323,-13187.10828,-9657.794614,-7549.40975,-6989.884115000001,-5275.622111,-8144.671062,-7530.446207999999,-5434.157553,-3055.7575690000003,-6350.728882,-6518.1745200000005,-3294.236369,-1649.998545,872.5,-2429.0698899999998,-212.11566230000003,-8790.322801,-8908.771074,432.854437,303.54612260000005,-1001.033258,527.116698,-4029.742853,-1510.684608,-7103.209038,-67.75974956,-5721.433188,2200.255875,-8152.294156,-6020.66975,812.37275,-3048.635986,-4844.283203,-4798.294922,-3053.488037,-4924.354004,1735.3850100000002,1838.08728,2542.419678,3249.4604489999997,1630.436523,3078.027588,-9381.117188,-5218.419922,-9171.200195,-11060.98047,-8680.534,-13345.3676,-7811.121,-6649.137,-7935.232,-6392.187,-6315.0,-10480.0,-12840.0,-7360.4691,-5807.1839,-5590.1219,-6407.0281,-14933.5797,-7910.738,-12756.5576,-11225.2887,-6307.8341,-6368.1331,-4284.6019,-4330.6057,-6265.1765,-7217.4837,2764.1242,2719.8590000000004,974.3986,-695.7446287,-184.167914,533.9092035,4908.629446,-2903.374517
2061,-5507.4596,-2338.7602199999997,-5110.35759,-7020.75828,-628.2051,-2836.63346,-1821.98136,-5777.639999999999,-5745.134,-10429.886,-3936.016,-4056.726,-1003.78363337,-13281.158996,-9640.9301907,-7936.3377936,-7216.3894943000005,-5696.34351,-8418.7720308,-7804.809286199999,-5699.105372,-3263.2217942,-6764.842224800001,-6924.569511000001,-3328.2250755000005,-1898.6910734,159.93999999999994,-2948.8422112,-624.99815407,-8994.0934779,-9106.2554206,11.431562199999973,-108.28624945999991,-1215.2137500000001,169.91258190000002,-4438.6231286,-2013.6529858000001,-7504.8027092,-227.99994500399998,-6162.1925754,1732.3857999999998,-8463.9560874,-6457.4878,350.56565,-3664.8254147,-5180.1184569,-5195.2932617999995,-3355.7381103000002,-5197.5420899,1323.7931399000001,1423.4344114,2294.900642634,3160.7078122999997,1243.5311275,3023.4478028,-9651.0452152,-5546.8898439,-9440.1377925,-11299.374318,-9025.7856,-13672.43643,-8221.6399,-6892.1269999999995,-8470.3688,-6436.691,-6639.3,-10694.0,-13181.0,-7754.296560000001,-6315.93613,-6055.66506,-6653.2060200000005,-15274.28182,-8316.66169,-13142.09185,-11651.50389,-6323.62982,-6822.24925,-4402.62543,-4536.50302,-6686.75187,-7438.67127,2581.6097800000002,2224.3371100000004,649.3992,-1002.6908938299999,-519.6140773,-0.1993009999999913,4599.7671043,-3228.7977324000003
2062,-5755.9628999999995,-2496.35124,-5324.60878,-7018.23636,-1158.9087000000002,-3071.05092,-2043.42582,-6396.17,-6060.018,-10304.272,-3911.822,-4020.902,-1373.9684344399998,-13375.209712,-9624.0657674,-8323.2658372,-7442.8948736,-6117.064909,-8692.8729996,-8079.172364399999,-5964.053191,-3470.6860194,-7178.9555676,-7330.964502000001,-3362.2137820000003,-2147.3836018,-552.6200000000001,-3468.6145324,-1037.88064584,-9197.8641548,-9303.7397672,-409.9913126000001,-520.1186215199998,-1429.394242,-187.2915342,-4847.503404200001,-2516.6213636,-7906.3963803999995,-388.240140448,-6602.9519628,1264.5157249999997,-8775.6180188,-6894.30585,-111.24144999999999,-4281.0148434,-5515.9537108,-5592.2916016,-3657.9881836,-5470.730175799999,912.2012698000001,1008.7815428,2047.3816072680002,3071.9551755999996,856.625732,2968.8680176,-9920.9732424,-5875.3597658,-9709.07539,-11537.768166,-9371.037199999999,-13999.50526,-8632.1588,-7135.117,-9005.5056,-6481.195,-6963.6,-10908.0,-13522.0,-8148.12402,-6824.68836,-6521.20822,-6899.383940000001,-15614.98394,-8722.58538,-13527.6261,-12077.719079999999,-6339.42554,-7276.3654,-4520.6489599999995,-4742.40034,-7108.32724,-7659.85884,2399.0953600000003,1728.8152200000004,324.3997999999999,-1309.6371589599999,-855.0602405999999,-534.3078055,4290.9047626,-3554.2209478000004
